volatility_regime,observations,actual_min,actual_max,lower_tercile_threshold,upper_tercile_threshold,rank_by_RMSE,model,MAE,RMSE,mean_prediction_bias
Low,82,0.01304600,0.01931982,0.01934615,0.02333006,1,"GARCH(1,1)",0.00043231,0.00065099,0.00013635
Low,82,0.01304600,0.01931982,0.01934615,0.02333006,2,Lagged linear regression,0.00057639,0.00087940,0.00022330
Low,82,0.01304600,0.01931982,0.01934615,0.02333006,3,Rolling historical volatility,0.00055130,0.00092027,0.00009568
Low,82,0.01304600,0.01931982,0.01934615,0.02333006,4,LSTM,0.00070408,0.00095522,0.00034429
Low,82,0.01304600,0.01931982,0.01934615,0.02333006,5,Random Forest,0.00077335,0.00105855,0.00046417
Medium,81,0.01939882,0.02332569,0.01934615,0.02333006,1,"GARCH(1,1)",0.00038920,0.00058047,0.00009267
Medium,81,0.01939882,0.02332569,0.01934615,0.02333006,2,Lagged linear regression,0.00055970,0.00084830,0.00007231
Medium,81,0.01939882,0.02332569,0.01934615,0.02333006,3,Rolling historical volatility,0.00050398,0.00086073,0.00004503
Medium,81,0.01939882,0.02332569,0.01934615,0.02333006,4,LSTM,0.00064996,0.00093082,0.00006152
Medium,81,0.01939882,0.02332569,0.01934615,0.02333006,5,Random Forest,0.00071588,0.00099505,0.00022877
High,82,0.02333225,0.04381787,0.01934615,0.02333006,1,"GARCH(1,1)",0.00060668,0.00146368,-0.00015218
High,82,0.02333225,0.04381787,0.01934615,0.02333006,2,Lagged linear regression,0.00107754,0.00209266,-0.00036605
High,82,0.02333225,0.04381787,0.01934615,0.02333006,3,Rolling historical volatility,0.00082850,0.00212349,-0.00008331
High,82,0.02333225,0.04381787,0.01934615,0.02333006,4,LSTM,0.00178832,0.00270447,-0.00091036
High,82,0.02333225,0.04381787,0.01934615,0.02333006,5,Random Forest,0.00257829,0.00374624,-0.00162318
