volatility_window_days,rank_by_RMSE,model,MAE,MSE,RMSE,RMSE_vs_rolling_percent,train_period,test_period
14,1,"GARCH(1,1)",0.00104447,0.00000321,0.00179214,-35.697,2023-03-28 to 2025-11-12,2025-11-13 to 2026-07-11
14,2,Lagged linear regression,0.00151973,0.00000688,0.00262221,-5.913,2023-03-28 to 2025-11-12,2025-11-13 to 2026-07-11
14,3,Rolling historical volatility,0.00137950,0.00000777,0.00278701,0.000,2023-03-28 to 2025-11-12,2025-11-13 to 2026-07-11
14,4,LSTM,0.00211025,0.00001297,0.00360202,29.243,2023-03-28 to 2025-11-12,2025-11-13 to 2026-07-11
14,5,Random Forest,0.00216116,0.00001536,0.00391877,40.608,2023-03-28 to 2025-11-12,2025-11-13 to 2026-07-11
30,1,"GARCH(1,1)",0.00047808,0.00000099,0.00099637,-31.038,2023-04-11 to 2025-11-15,2025-11-16 to 2026-07-11
30,2,Lagged linear regression,0.00074798,0.00000201,0.00141843,-1.826,2023-04-11 to 2025-11-15,2025-11-16 to 2026-07-11
30,3,Rolling historical volatility,0.00063564,0.00000209,0.00144481,0.000,2023-04-11 to 2025-11-15,2025-11-16 to 2026-07-11
30,4,LSTM,0.00106690,0.00000339,0.00184029,27.372,2023-04-11 to 2025-11-15,2025-11-16 to 2026-07-11
30,5,Random Forest,0.00122445,0.00000452,0.00212715,47.226,2023-04-11 to 2025-11-15,2025-11-16 to 2026-07-11
