feature,importance
rolling_return_std_30d,0.25729013
realised_volatility_30d,0.18918930
rv_lag_1,0.17020383
rv_lag_2,0.09176964
rolling_abs_return_30d,0.08611132
rv_lag_3,0.08018500
rolling_abs_return_14d,0.03040492
rv_lag_7,0.02957946
rolling_return_std_14d,0.02560474
rolling_abs_return_7d,0.01343690
rv_lag_14,0.00927488
rolling_return_std_7d,0.00812124
log_volume,0.00229171
log_trade_count,0.00134786
abs_return_lag_14,0.00090705
abs_return,0.00089499
log_return,0.00048299
abs_return_lag_1,0.00041973
abs_return_lag_7,0.00040029
abs_return_lag_3,0.00035134
return_lag_3,0.00032044
return_lag_2,0.00030069
return_lag_7,0.00029870
abs_return_lag_2,0.00029238
return_lag_14,0.00028072
return_lag_1,0.00023981
